ProbeID,Exome,Chr,Strand,From,To,Gene,Type,Max_MAF,Comment,Extra_Comment,CHR,TxStart,TxEnd,Gene_strand
6940176,exome,chr2,+,114715693,114715742,ACTR3,exonic,,GOOD,NO,2,114647510,114719129,+
2690670,exome,chr20,+,37400638,37400687,ACTR5,exonic,,GOOD,NO,20,37377096,37401089,+
1580168,exome,chr12,+,100618008,100618057,ACTR6,exonic,,GOOD,NO,12,100593864,100618202,+
270278,exome,chr3,-,53901482,53901531,ACTR8,exonic,,GOOD,NO,3,53901093,53916229,-
6940360,exome,chr2,-,158593153,158593202,ACVR1,exonic,,GOOD,NO,2,158592957,158732374,-
4570240,exome,chr12,+,52390626,52390675,ACVR1B,exonic,,GOOD,NO,12,52345450,52390863,+
4260681,exome,chr2,+,148687471,148687520,ACVR2A,exonic,,GOOD,NO,2,148602085,148688396,+
4590349,exome,chr2,+,148688099,148688148,ACVR2A,exonic,,GOOD,NO,2,148602085,148688396,+
3440689,exome,chr14,-,75530235,75530676,ACYP1,exonic,,GOOD,SPLICE,14,75519927,75536186,-
5910148,exome,chr14,-,75520238,75520287,ACYP1,exonic,,GOOD,NO,14,75519927,75536186,-
130367,exome,chr2,+,54342738,54342787,ACYP2,exonic,,GOOD,NO,2,54198239,54532435,+
5290672,exome,chr2,+,54365811,54365860,ACYP2,exonic,,GOOD,NO,2,54198239,54532435,+
7210192,exome,chr20,-,43248442,43248942,ADA,exonic,,GOOD,SPLICE,20,43248159,43280399,-
5910554,exome,chr15,+,43641207,43641256,ADAL,exonic,,GOOD,NO,15,43622548,43646753,+
3130364,exome,chr15,-,58888922,58888971,ADAM10,exonic,,GOOD,NO,15,58887402,59042177,-
5290300,exome,chr15,-,58889101,58889150,ADAM10,exonic,,GOOD,NO,15,58887402,59042177,-
6180392,exome,chr10,-,127703468,127703517,ADAM12,exonic,,GOOD,NO,10,127700953,128077127,-
1980553,exome,chr1,+,155035017,155035066,ADAM15,exonic,,GOOD,NO,1,155023747,155035252,+
3440452,exome,chr1,+,155035183,155035232,ADAM15,exonic,,GOOD,NO,1,155023747,155035252,+
6480131,exome,chr1,+,155032770,155032819,ADAM15,exonic,,GOOD,NO,1,155023747,155035252,+
5260546,exome,chr2,-,9629441,9629490,ADAM17,exonic,,GOOD,NO,2,9628614,9695949,-
5420762,exome,chr2,-,9630478,9630527,ADAM17,exonic,,GOOD,NO,2,9628614,9695949,-
6900209,exome,chr5,-,156904527,156904576,ADAM19,exonic,,GOOD,NO,5,156904311,157002831,-
6110315,exome,chr8,-,39601318,39601367,ADAM2,exonic,,GOOD,NO,8,39601254,39695808,-
780725,exome,chr10,-,135076196,135076245,ADAM8,exonic,,GOOD,NO,10,135075919,135090407,-
2940730,exome,chr8,+,38899572,38899621,ADAM9,exonic,,GOOD,NO,8,38854504,38962779,+
2470184,exome,chr8,+,24263273,24263322,ADAMDEC1,exonic,,GOOD,NO,8,24241797,24263526,+
1660497,exome,chr1,-,161159834,161159883,ADAMTS4,exonic,,GOOD,NO,1,161159518,161168843,-
5130400,exome,chr15,+,84708171,84708220,ADAMTSL3,exonic,,GOOD,NO,15,84322837,84708593,+
10286,exome,chr1,+,150531059,150531108,ADAMTSL4,exonic,,GOOD,NO,1,150521844,150533412,+
780678,exome,chr1,+,150531161,150531210,ADAMTSL4,exonic,,GOOD,NO,1,150521844,150533412,+
7570669,exome,chr7,-,937756,937805,ADAP1,exonic,,GOOD,NO,7,937536,995043,-
3990433,exome,chr17,+,29286088,29286137,ADAP2,exonic,,GOOD,NO,17,29248753,29286211,+
2900450,exome,chr1,-,154554657,154554706,ADAR,exonic,,GOOD,NO,1,154554533,154600456,-
5490433,exome,chr1,-,154555152,154555201,ADAR,exonic,,GOOD,NO,1,154554533,154600456,-
7330097,exome,chr21,+,46646351,46646400,ADARB1,exonic,,GOOD,NO,21,46494492,46646478,+
1710204,exome,chr16,-,75633444,75633493,ADAT1,exonic,,GOOD,NO,16,75630776,75657221,-
2230253,exome,chr19,+,1913205,1913254,ADAT3,exonic,,GOOD,NO,19,1905370,1913446,+
780379,exome,chr14,+,78400011,78400060,ADCK1,exonic,,GOOD,NO,14,78266425,78400297,+
1780647,exome,chr7,+,140394709,140394758,ADCK2,exonic,,GOOD,NO,7,140372952,140394908,+
4290053,exome,chr19,-,41197661,41197710,ADCK4,exonic,,GOOD,NO,19,41197433,41222790,-
3800050,exome,chr2,-,25042097,25042146,ADCY3,exonic,,GOOD,NO,2,25042038,25142886,-
50735,exome,chr16,+,50351297,50351346,ADCY7,exonic,,GOOD,NO,16,50300450,50352045,+
3060100,exome,chr16,-,4012981,4013030,ADCY9,exonic,,GOOD,NO,16,4012649,4166186,-
1230289,exome,chr4,+,2931136,2931185,ADD1,exonic,,GOOD,NO,4,2845583,2931802,+
5900685,exome,chr4,+,2931707,2931756,ADD1,exonic,,GOOD,NO,4,2845583,2931802,+
1010477,exome,chr10,+,111892086,111892135,ADD3,exonic,,GOOD,NO,10,111756107,111895323,+
1990468,exome,chr10,+,111895189,111895238,ADD3,exonic,,GOOD,NO,10,111756107,111895323,+
3420747,exome,chr10,+,111883976,111884025,ADD3,exonic,,GOOD,NO,10,111756107,111895323,+
5720161,exome,chr4,-,99993179,99993228,ADH5,exonic,,GOOD,NO,4,99992129,100009939,-
2760121,exome,chr8,+,67380800,67380849,ADHFE1,exonic,,GOOD,NO,8,67344717,67381044,+
3890598,exome,chr8,+,67380728,67380777,ADHFE1,exonic,,GOOD,NO,8,67344717,67381044,+
6620278,exome,chr2,-,3502323,3502372,ADI1,exonic,,GOOD,NO,2,3501689,3523350,-
4200471,exome,chr3,+,186575786,186575835,ADIPOQ,exonic,,GOOD,NO,3,186560462,186576252,+
3460201,exome,chr1,-,202910284,202910333,ADIPOR1,exonic,,GOOD,NO,1,202909952,202927700,-
6100767,exome,chr1,-,202910431,202910480,ADIPOR1,exonic,,GOOD,NO,1,202909952,202927700,-
6960685,exome,chr12,+,1897524,1897573,ADIPOR2,exonic,,GOOD,NO,12,1800246,1897845,+
1030241,exome,chr10,+,76468197,76468246,ADK,exonic,,GOOD,NO,10,75910942,76469061,+
5670465,exome,chr11,+,10328769,10328818,ADM,exonic,,GOOD,NO,11,10326526,10328949,+
360678,exome,chr20,-,49507262,49507311,ADNP,exonic,,GOOD,NO,20,49505454,49547527,-
1770551,exome,chr20,-,49545230,49545279,ADNP,exonic,,GOOD,NO,20,49505454,49547527,-
7330270,exome,chr18,+,77897891,77897940,ADNP2,exonic,,GOOD,NO,18,77866914,77898228,+
4480546,exome,chr10,+,64568038,64568087,ADO,exonic,,GOOD,NO,10,64564515,64568239,+
4060519,exome,chr1,+,203136449,203136498,ADORA1,exonic,,GOOD,NO,1,203096835,203136533,+
2060040,exome,chr17,+,15878748,15878797,ADORA2B,exonic,,GOOD,NO,17,15848230,15879210,+
870138,exome,chr1,-,112026102,112026151,TMIGD3,exonic,,GOOD,NO,1,112025969,112106625,-
6580482,exome,chr1,-,112042491,112042540,ADORA3,exonic,,GOOD,NO,1,112042050,112046743,-
5550619,exome,chr15,-,73044042,73044091,ADPGK,exonic,,GOOD,NO,15,73043707,73076126,-
5550369,exome,chr3,+,119308372,119308421,ADPRH,exonic,,GOOD,NO,3,119298279,119308792,+
730010,exome,chr1,+,36559239,36559288,ADPRHL2,exonic,,GOOD,NO,1,36554452,36559533,+
5720523,exome,chr10,+,112840111,112840160,ADRA2A,exonic,,GOOD,NO,10,112836789,112840662,+
3390286,exome,chr2,-,96778859,96778908,ADRA2B,exonic,,GOOD,NO,2,96778622,96781984,-
7570326,exome,chr5,+,148208050,148208099,ADRB2,exonic,,GOOD,NO,5,148206155,148208197,+
3290113,exome,chr11,+,67053925,67053974,GRK2,exonic,,GOOD,NO,11,67033904,67054029,+
2120528,exome,chr22,+,26119566,26119615,GRK3,exonic,,GOOD,NO,22,25960860,26125258,+
4280136,exome,chr20,+,60883436,60883485,ADRM1,exonic,,GOOD,NO,20,60877951,60883918,+
4390121,exome,chr20,+,60883723,60883772,ADRM1,exonic,,GOOD,NO,20,60877951,60883918,+
5870228,exome,chr22,+,40761038,40762466,ADSL,exonic,,GOOD,SPLICE,22,40742503,40762752,+
5960097,exome,chr1,-,244572018,244572067,ADSS,exonic,,GOOD,NO,1,244571793,244615436,-
6020333,exome,chr1,-,244580970,244581019,ADSS,exonic,,GOOD,NO,1,244571793,244615436,-
4830372,exome,chr14,+,105213377,105213426,ADSSL1,exonic,,GOOD,NO,14,105190533,105213662,+
4900703,exome,chr14,+,105190738,105190787,ADSSL1,exonic,,GOOD,NO,14,105190533,105213662,+
4260671,exome,chr12,+,19673502,19673551,AEBP2,exonic,,GOOD,NO,12,19592607,19675173,+
5090438,exome,chr15,+,89175121,89175170,AEN,exonic,,GOOD,NO,15,89164526,89175512,+
1230458,exome,chr19,-,3053261,3053310,AES,exonic,,GOOD,NO,19,3052907,3062964,-
6180176,exome,chr19,-,3053682,3053731,AES,exonic,,GOOD,NO,19,3052907,3062964,-
2690187,exome,chr4,-,7760463,7760512,AFAP1,exonic,,GOOD,NO,4,7760439,7941653,-
3990673,exome,chr4,+,88059819,88059868,AFF1,exonic,,GOOD,NO,4,87856153,88062206,+
6060142,exome,chr4,+,88061265,88061314,AFF1,exonic,,GOOD,NO,4,87856153,88062206,+
650753,exome,chr2,-,100163844,100163893,AFF3,exonic,,GOOD,NO,2,100163715,100759037,-
2360189,exome,chr5,-,132211805,132211854,AFF4,exonic,,GOOD,NO,5,132211070,132299354,-
60609,exome,chr16,+,90062527,90062576,AFG3L1P,exonic,,GOOD,NO,16,90038987,90067195,+
1170538,exome,chr18,-,12329202,12329251,AFG3L2,exonic,,GOOD,NO,18,12328942,12377275,-
2070707,exome,chr17,+,76203286,76203335,AFMID,exonic,,GOOD,NO,17,76183397,76203782,+
450097,exome,chr2,+,64806643,64812567,AFTPH,exonic,,GOOD,SPLICE,2,64751438,64820138,+
2070600,exome,chr2,+,64808329,64808378,AFTPH,exonic,,GOOD,NO,2,64751438,64820138,+
5570543,exome,chr2,+,64819744,64819793,AFTPH,exonic,,GOOD,NO,2,64751438,64820138,+
130064,exome,chr4,-,178351994,178352043,AGA,exonic,,GOOD,NO,4,178351928,178363657,-
3890431,exome,chr7,+,150820629,150820678,AGAP3,exonic,,GOOD,NO,7,150782917,150841523,+
1850075,exome,chr2,+,27281463,27282099,AGBL5,exonic,,GOOD,SPLICE,2,27274490,27293490,+
990754,exome,chr2,+,228424448,228424497,AGFG1,exonic,,GOOD,NO,2,228336887,228425938,+
4280681,exome,chr2,+,228425698,228425747,AGFG1,exonic,,GOOD,NO,2,228336887,228425938,+
4050368,exome,chr7,+,100162989,100163038,AGFG2,exonic,,GOOD,NO,7,100136833,100165843,+
70239,exome,chr5,+,76360616,76360665,AGGF1,exonic,,GOOD,NO,5,76326209,76361058,+
5130102,exome,chr5,+,76360492,76360541,AGGF1,exonic,,GOOD,NO,5,76326209,76361058,+
7560452,exome,chr7,+,141353430,141353479,AGK,exonic,,GOOD,NO,7,141251077,141354209,+
2940113,exome,chr1,+,100389497,100389546,AGL,exonic,,GOOD,NO,1,100315639,100389579,+
7000672,exome,chr1,+,100388811,100388860,AGL,exonic,,GOOD,NO,1,100315639,100389579,+
4610044,exome,chr6,-,32136428,32136477,AGPAT1,exonic,,GOOD,NO,6,32135982,32145888,-
3520671,exome,chr9,-,139567910,139567959,AGPAT2,exonic,,GOOD,NO,9,139567594,139581911,-
3850370,exome,chr9,-,139571073,139571122,AGPAT2,exonic,,GOOD,NO,9,139567594,139581911,-
620064,exome,chr21,+,45403563,45403612,AGPAT3,exonic,,GOOD,NO,21,45285115,45407475,+
3850435,exome,chr21,+,45403018,45403067,AGPAT3,exonic,,GOOD,NO,21,45285115,45407475,+
830719,exome,chr8,+,6615898,6615947,AGPAT5,exonic,,GOOD,NO,8,6565877,6619021,+
3870022,exome,chr8,+,41478421,41478470,GPAT4,exonic,,GOOD,NO,8,41435706,41482520,+
2060477,exome,chr4,+,84526603,84526652,GPAT3,exonic,,GOOD,NO,4,84457066,84527027,+
7560154,exome,chr2,+,178402841,178402890,AGPS,exonic,,GOOD,NO,2,178257470,178408564,+
6370500,exome,chr1,+,991196,991245,AGRN,exonic,,GOOD,NO,1,955502,991499,+
7160121,exome,chr16,-,67516570,67516619,AGRP,exonic,,GOOD,NO,16,67516473,67517716,-
2340347,exome,chr9,-,88161516,88161565,AGTPBP1,exonic,,GOOD,NO,9,88161453,88356944,-
4760427,exome,chr9,-,88162009,88162058,AGTPBP1,exonic,,GOOD,NO,9,88161453,88356944,-
4610220,exome,chr1,+,11810573,11810622,AGTRAP,exonic,,GOOD,NO,1,11796141,11810828,+
870139,exome,chr5,-,177635908,177638931,PHYKPL,exonic,,GOOD,SPLICE,5,177635474,177659823,-
5690082,exome,chr5,-,177649502,177649551,PHYKPL,exonic,,GOOD,NO,5,177635474,177659823,-
1230196,exome,chr1,-,247002822,247002871,AHCTF1,exonic,,GOOD,NO,1,247002399,247095280,-
6040747,exome,chr1,-,247012966,247013015,AHCTF1,exonic,,GOOD,NO,1,247002399,247095280,-
3710537,exome,chr20,-,32868453,32868502,AHCY,exonic,,GOOD,NO,20,32868070,32899608,-
